City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Taoudenni,ML,2021-07-21 17:58:02,22.6783,-3.9836,116.89,6,91,13.8
68,Hobart,AU,2021-07-21 17:53:42,-42.8794,147.3294,48.06,82,75,1.99
69,Veraval,IN,2021-07-21 17:58:02,20.9,70.3667,82.87,84,100,23.91
70,Kruisfontein,ZA,2021-07-21 17:58:03,-34.0033,24.7314,46.89,78,83,28.7
71,Castro,BR,2021-07-21 17:56:54,-24.7911,-50.0119,65.41,36,8,1.81
72,Bredasdorp,ZA,2021-07-21 17:58:03,-34.5322,20.0403,45.72,71,86,9.22
73,Raudeberg,NO,2021-07-21 17:58:04,61.9875,5.1352,64.0,78,45,9.24
74,Saskylakh,RU,2021-07-21 17:58:04,71.9167,114.0833,56.3,71,100,12.75
75,Ponta Delgada,PT,2021-07-21 17:58:04,37.7333,-25.6667,72.32,73,20,14.97
76,Vardo,NO,2021-07-21 17:58:05,70.3705,31.1107,48.4,80,100,19.62
77,Sao Filipe,CV,2021-07-21 17:58:05,14.8961,-24.4956,77.65,82,56,3.18
78,Jamestown,US,2021-07-21 17:55:39,42.097,-79.2353,71.1,73,90,8.01
79,Bella Union,UY,2021-07-21 17:58:06,-30.2752,-57.6007,64.36,47,0,7.92
80,Pacific Grove,US,2021-07-21 17:53:29,36.6177,-121.9166,84.15,86,75,4.0
81,Kamenka,RU,2021-07-21 17:58:06,51.3223,42.7678,72.25,77,73,8.7
82,Guerrero Negro,MX,2021-07-21 17:58:06,27.9769,-114.0611,77.38,64,95,12.03
83,Airai,TL,2021-07-21 17:58:07,-8.9266,125.4092,54.81,79,30,2.93
84,Ribeira Grande,PT,2021-07-21 17:58:07,38.5167,-28.7,73.8,56,20,16.11
85,Darnah,LY,2021-07-21 17:58:07,32.767,22.6367,79.29,78,0,21.0
86,Port Alfred,ZA,2021-07-21 17:58:08,-33.5906,26.891,52.38,83,35,30.53
87,Grindavik,IS,2021-07-21 17:57:42,63.8424,-22.4338,55.87,94,75,11.5
88,Westport,US,2021-07-21 17:53:18,41.1415,-73.3579,84.16,76,40,5.01
89,Brae,GB,2021-07-21 17:58:08,60.3964,-1.353,53.51,86,74,12.5
90,Lempaala,FI,2021-07-21 17:58:09,61.3167,23.75,61.25,51,0,10.36
91,Hay River,CA,2021-07-21 17:58:09,60.8156,-115.7999,69.78,64,40,6.91
92,Butaritari,KI,2021-07-21 17:58:09,3.0707,172.7902,82.09,76,83,10.16
