City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
125,Mahajanga,MG,69.82,clear sky,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
127,Videle,RO,75.69,scattered clouds,44.2781,25.5244,Casa Marinescu
128,Sibolga,ID,76.87,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
129,Brattvag,NO,63.97,overcast clouds,62.6002,6.4434,Brattvåg Fjordhotell
130,Hasaki,JP,75.6,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
131,Banyo,CM,66.22,light rain,6.75,11.8167,Motel JOMBA
132,Ambon,ID,78.06,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
134,Itarema,BR,80.87,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
135,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
136,Fairbanks,US,62.1,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
137,Havre-Saint-Pierre,CA,66.56,clear sky,50.2334,-63.5986,Auberge Niapiskau
139,Paonta Sahib,IN,82.04,overcast clouds,30.45,77.6167,OYO 37501 The Brighton Hotel
140,Tuktoyaktuk,CA,60.8,broken clouds,69.4541,-133.0374,End of The Road Ltd.
146,Yelan,RU,64.87,broken clouds,50.949,43.7378,Gostinitsa Na Sovetskoy
147,Ribeira Grande,PT,73.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
149,Kununurra,AU,62.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
152,Carnarvon,AU,60.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
153,Nassau,US,86.67,clear sky,40.7507,-73.5829,Hilton Garden Inn Westbury
154,Salalah,OM,78.89,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
156,Mackenzie,CA,64.62,broken clouds,55.2999,-123.1698,Hilton Shop
157,Norman Wells,CA,64.44,scattered clouds,65.282,-126.8329,Heritage Hotel
159,Alexandria,EG,79.34,few clouds,31.2156,29.9553,Royal Crown Hotel
161,Fort Saint James,CA,68.41,overcast clouds,54.4333,-124.25,The View Hotel
163,Gigmoto,PH,81.32,broken clouds,13.7796,124.39,Cj's Travellers Inn
166,Saint-Philippe,RE,68.22,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
167,Beli Potok,RS,75.38,clear sky,44.7061,20.5197,Garni hotel „Sučević“
168,Lata,PT,68.41,scattered clouds,40.1629,-8.3327,Casa Maquia
169,Pathein,MM,78.98,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
170,Agustin Codazzi,CO,80.33,overcast clouds,10.0341,-73.2361,Hotel perija
171,Bastia,FR,77.31,overcast clouds,42.6667,9.3333,Hotel Santa Maria
172,Cascais,PT,73.26,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
173,Dzhebariki-Khaya,RU,60.19,moderate rain,62.2167,135.8,
174,Yacuiba,BO,86.13,few clouds,-22.038,-63.6797,Hotel Monumental
176,Senanga,ZM,63.72,clear sky,-16.1167,23.2667,Zango lodge
177,Inirida,CO,76.75,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
180,Totness,SR,81.54,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
181,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
182,Atambua,ID,66.16,clear sky,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
