,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Narsaq,GL,60.9167,-46.05,48.42,84,89,4.76,overcast clouds
80,Astoria,US,46.1879,-123.8313,83.97,77,20,4.0,few clouds
81,Vaini,TO,-21.2,-175.2,71.76,94,20,2.3,fog
82,Inuvik,CA,68.3499,-133.7218,67.21,58,75,5.75,light rain
83,Butaritari,KI,3.0707,172.7902,83.68,72,100,16.67,overcast clouds
84,Perigueux,FR,45.1833,0.7167,68.63,66,0,4.85,clear sky
85,Waingapu,ID,-9.6567,120.2641,70.84,76,20,4.32,few clouds
86,Mount Gambier,AU,-37.8333,140.7667,40.91,81,100,11.5,overcast clouds
87,Leshukonskoye,RU,64.8989,45.7622,45.21,95,95,5.86,overcast clouds
88,Jamestown,US,42.097,-79.2353,80.19,69,40,10.0,light rain
89,Klaksvik,FO,62.2266,-6.589,50.92,93,84,16.91,broken clouds
90,Tilichiki,RU,60.4667,166.1,52.92,92,100,3.58,overcast clouds
91,Gallup,US,35.5281,-108.7426,75.96,61,90,4.0,thunderstorm
92,Asyut,EG,27.181,31.1837,87.98,25,0,9.13,clear sky
93,Ponta Do Sol,PT,32.6667,-17.1,75.83,78,0,5.14,clear sky
94,Leh,IN,34.1667,77.5833,70.11,39,100,6.93,overcast clouds
95,Malakal,SS,9.5334,31.6605,72.21,97,81,6.8,light rain
96,Sampit,ID,-2.5333,112.95,72.05,94,8,2.64,clear sky
97,Parrita,CR,9.5201,-84.3225,82.98,83,100,4.07,overcast clouds
98,Hithadhoo,MV,-0.6,73.0833,81.99,78,28,11.86,light rain
99,Iqaluit,CA,63.7506,-68.5145,42.53,87,90,10.36,light rain
100,Paltinis,RO,48.2167,26.65,73.65,66,13,1.95,few clouds
101,Hobart,AU,-42.8794,147.3294,46.26,65,74,1.99,broken clouds
102,Sherbakul,RU,54.6316,72.3963,80.28,52,100,7.74,overcast clouds
103,Touros,BR,-5.1989,-35.4608,83.3,62,10,19.01,clear sky
